Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,3 mg","31,4 %"
Vitamina B11,"0,1 mg","32,5 %"
Vitamina B12,"< 0,1 mg","11,3 %"
Vitamina B2,"3,8 mg","269,5 %"
Vitamina B3,"0,5 mg","3,1 %"
Vitamina B5,"0,2 mg","3,3 %"
Vitamina B6,"0,2 mg","14,2 %"
Vitamina C,"15,3 mg","19,1 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"1,4 mg","11,8 %"
Vitamina K,"< 0,1 mg","< 0,1 %"
