Minerali,per porzione,% RDA
Calcio,"24,2 mg","2,4 %"
Rame,"3,2 mg","319,1 %"
Ferro,"25,4 mg","169,3 %"
Magnesio,"48,3 mg","16,1 %"
Manganese,"0,3 mg","12,9 %"
Fosforo,"1.076,4 mg","153,8 %"
Potassio,"741,8 mg","37,1 %"
Selenio,"0,3 mg","933,8 %"
Zinco,"6,6 mg","94,1 %"
