Valori nutrizionali,per porzione,% RDA
Valore calorico,419 kcal 1.754 kJ,"21,0 %"
Grassi,"10,6 g","16,4 %"
Grassi saturi,"2,0 g","9,0 %"
Grassi monoinsaturi,"3,8 g","12,9 %"
Grassi polinsaturi,"4,5 g","30,3 %"
Carboidrati,"66,3 g","24,7 %"
Zuccheri,"21,3 g","42,6 %"
Proteine,"14,5 g","19,8 %"
Fibre alimentari,"20,5 g","6,8 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"6,4 g","0,3 %"
