Valori nutrizionali,per porzione,% RDA
Valore calorico,240 kcal 1.005 kJ,"12,0 %"
Grassi,"5,5 g","8,4 %"
Grassi saturi,"1,0 g","4,7 %"
Grassi monoinsaturi,"1,2 g","4,2 %"
Grassi polinsaturi,"2,7 g","18,1 %"
Carboidrati,"44,1 g","16,4 %"
Zuccheri,"15,2 g","30,4 %"
Proteine,"4,2 g","5,8 %"
Fibre alimentari,"3,4 g","1,1 %"
Colesterolo,"2,6 mg","8,6 %"
Sodio,"1,6 g","0,3 %"
Acqua,"199,0 g","9,9 %"
