Minerali,per porzione,% RDA
Calcio,"60,0 mg","6,0 %"
Rame,"0,1 mg","13,9 %"
Ferro,"0,9 mg","6,0 %"
Magnesio,"30,0 mg","10,0 %"
Manganese,"0,7 mg","35,0 %"
Fosforo,"230,0 mg","32,9 %"
Potassio,"290,0 mg","14,5 %"
Selenio,"< 0,1 mg","121,7 %"
Zinco,"1,7 mg","23,6 %"
