Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,3 mg","27,0 %"
Vitamina B11,"< 0,1 mg","11,4 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"< 0,1 mg","4,4 %"
Vitamina B3,"2,0 mg","12,5 %"
Vitamina B5,"0,1 mg","2,0 %"
Vitamina B6,"0,2 mg","17,4 %"
Vitamina C,"< 0,1 mg","< 0,1 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
