Minerali,per porzione,% RDA
Calcio,"13,9 mg","1,4 %"
Rame,"0,4 mg","35,8 %"
Ferro,"8,9 mg","59,0 %"
Magnesio,"41,8 mg","13,9 %"
Manganese,"0,4 mg","17,8 %"
Fosforo,"321,9 mg","46,0 %"
Potassio,"487,2 mg","24,4 %"
Selenio,"< 0,1 mg","201,8 %"
Zinco,"12,2 mg","174,2 %"
