Minerali,per porzione,% RDA
Calcio,"20,9 mg","2,1 %"
Rame,"0,2 mg","16,8 %"
Ferro,"6,0 mg","39,9 %"
Magnesio,"13,3 mg","4,4 %"
Manganese,"0,9 mg","46,8 %"
Fosforo,"112,1 mg","16,0 %"
Potassio,"25,7 mg","1,3 %"
Selenio,"< 0,1 mg","117,8 %"
Zinco,"1,4 mg","19,4 %"
