Minerali,per porzione,% RDA
Calcio,"18,4 mg","1,8 %"
Rame,"< 0,1 mg","8,9 %"
Ferro,"0,3 mg","1,8 %"
Magnesio,"91,8 mg","30,6 %"
Manganese,"< 0,1 mg","2,3 %"
Fosforo,"612,0 mg","87,4 %"
Potassio,"918,0 mg","45,9 %"
Selenio,"0,1 mg","372,3 %"
Zinco,"2,4 mg","34,1 %"
