Minerali,per porzione,% RDA
Calcio,"13,3 mg","1,3 %"
Rame,"< 0,1 mg","8,1 %"
Ferro,"0,8 mg","5,6 %"
Magnesio,"26,6 mg","8,9 %"
Manganese,"< 0,1 mg","1,1 %"
Fosforo,"220,8 mg","31,5 %"
Potassio,"296,6 mg","14,8 %"
Selenio,"< 0,1 mg","86,0 %"
Zinco,"2,6 mg","36,5 %"
