Minerali,per porzione,% RDA
Calcio,"8,1 mg","0,8 %"
Rame,"< 0,1 mg","3,3 %"
Ferro,"0,2 mg","1,5 %"
Magnesio,"4,5 mg","1,5 %"
Manganese,"< 0,1 mg","3,1 %"
Fosforo,"16,0 mg","2,3 %"
Potassio,"24,8 mg","1,2 %"
Selenio,"0,0 mg","0,0 %"
Zinco,"0,1 mg","1,4 %"
