Minerali,per porzione,% RDA
Calcio,"33,6 mg","3,4 %"
Rame,"0,8 mg","83,8 %"
Ferro,"3,1 mg","20,9 %"
Magnesio,"283,2 mg","94,4 %"
Manganese,"2,1 mg","106,3 %"
Fosforo,"692,8 mg","99,0 %"
Potassio,"683,2 mg","34,2 %"
Selenio,"< 0,1 mg","14,9 %"
Zinco,"9,5 mg","136,2 %"
