Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,1 mg","13,1 %"
Vitamina B11,"< 0,1 mg","4,0 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"< 0,1 mg","6,5 %"
Vitamina B3,"0,1 mg","0,8 %"
Vitamina B5,"0,3 mg","4,4 %"
Vitamina B6,"< 0,1 mg","6,9 %"
Vitamina C,"2,0 mg","2,5 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
