Minerali,per porzione,% RDA
Calcio,"54,2 mg","5,4 %"
Rame,"< 0,1 mg","9,7 %"
Ferro,"4,2 mg","28,2 %"
Magnesio,"30,6 mg","10,2 %"
Manganese,"0,1 mg","6,3 %"
Fosforo,"239,1 mg","34,2 %"
Potassio,"315,5 mg","15,8 %"
Selenio,"< 0,1 mg","97,3 %"
Zinco,"3,4 mg","48,5 %"
