Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"1,0 mg","89,5 %"
Vitamina B11,"0,7 mg","183,5 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,4 mg","29,0 %"
Vitamina B3,"3,8 mg","24,0 %"
Vitamina B5,"1,5 mg","24,2 %"
Vitamina B6,"0,7 mg","52,7 %"
Vitamina C,"8,5 mg","10,6 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
