Minerali,per porzione,% RDA
Calcio,"184,8 mg","18,5 %"
Rame,"0,2 mg","16,8 %"
Ferro,"1,6 mg","10,8 %"
Magnesio,"42,0 mg","14,0 %"
Manganese,"0,0 mg","0,0 %"
Fosforo,"31,5 mg","4,5 %"
Potassio,"462,0 mg","23,1 %"
Selenio,"< 0,1 mg","10,0 %"
Zinco,"0,8 mg","10,8 %"
