Minerali,per porzione,% RDA
Calcio,"118,0 mg","11,8 %"
Rame,"0,3 mg","25,0 %"
Ferro,"1,4 mg","9,3 %"
Magnesio,"20,0 mg","6,7 %"
Manganese,"0,0 mg","0,0 %"
Fosforo,"180,0 mg","25,7 %"
Potassio,"230,0 mg","11,5 %"
Selenio,"< 0,1 mg","56,0 %"
Zinco,"1,0 mg","14,3 %"
