Valori nutrizionali,per porzione,% RDA
Valore calorico,33 kcal 138 kJ,"1,7 %"
Grassi,"0,5 g","0,7 %"
Grassi saturi,"< 0,1 g","0,1 %"
Grassi monoinsaturi,"0,2 g","0,7 %"
Grassi polinsaturi,"< 0,1 g","0,6 %"
Carboidrati,"5,9 g","2,2 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"3,3 g","4,5 %"
Fibre alimentari,"4,2 g","1,4 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"138,3 g","6,9 %"
