Minerali,per porzione,% RDA
Calcio,"37,6 mg","3,8 %"
Rame,"0,4 mg","43,1 %"
Ferro,"3,2 mg","21,2 %"
Magnesio,"114,7 mg","38,2 %"
Manganese,"3,0 mg","150,4 %"
Fosforo,"356,3 mg","50,9 %"
Potassio,"365,7 mg","18,3 %"
Selenio,"< 0,1 mg","221,5 %"
Zinco,"2,5 mg","35,7 %"
