Minerali,per porzione,% RDA
Calcio,"86,4 mg","8,6 %"
Rame,"< 0,1 mg","8,9 %"
Ferro,"5,2 mg","34,9 %"
Magnesio,"23,0 mg","7,7 %"
Manganese,"< 0,1 mg","2,7 %"
Fosforo,"299,5 mg","42,8 %"
Potassio,"302,4 mg","15,1 %"
Selenio,"< 0,1 mg","177,1 %"
Zinco,"1,9 mg","27,4 %"
