Minerali,per porzione,% RDA
Calcio,"20,0 mg","2,0 %"
Rame,"0,2 mg","17,5 %"
Ferro,"1,7 mg","11,6 %"
Magnesio,"91,4 mg","30,5 %"
Manganese,"0,7 mg","32,8 %"
Fosforo,"224,5 mg","32,1 %"
Potassio,"375,0 mg","18,7 %"
Selenio,"< 0,1 mg","20,6 %"
Zinco,"2,0 mg","28,0 %"
