Valori nutrizionali,per porzione,% RDA
Valore calorico,1.931 kcal 8.085 kJ,"96,6 %"
Grassi,"75,0 g","115,4 %"
Grassi saturi,"13,7 g","62,5 %"
Grassi monoinsaturi,"22,5 g","77,4 %"
Grassi polinsaturi,"36,7 g","244,9 %"
Carboidrati,"313,7 g","117,0 %"
Zuccheri,"291,5 g","583,0 %"
Proteine,"0,0 g","0,0 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"0,9 g","0,2 %"
Acqua,"69,6 g","3,5 %"
