Valori nutrizionali,per porzione,% RDA
Valore calorico,105 kcal 440 kJ,"5,3 %"
Grassi,"2,7 g","4,2 %"
Carboidrati,"15,4 g","5,7 %"
Proteine,"3,9 g","5,3 %"
