Valori nutrizionali,per porzione,% RDA
Valore calorico,127 kcal 533 kJ,"6,4 %"
Grassi,"3,2 g","4,9 %"
Grassi saturi,"1,0 g","4,4 %"
Grassi monoinsaturi,"1,4 g","5,0 %"
Grassi polinsaturi,"0,7 g","4,5 %"
Carboidrati,"13,0 g","4,8 %"
Zuccheri,"1,4 g","2,9 %"
Proteine,"12,3 g","16,8 %"
Fibre alimentari,"1,0 g","0,3 %"
Colesterolo,"12,0 mg","40,0 %"
Sodio,"0,9 g","0,2 %"
Acqua,"208,3 g","10,4 %"
