Minerali,per porzione,% RDA
Calcio,"17,9 mg","1,8 %"
Rame,"< 0,1 mg","1,3 %"
Ferro,"0,1 mg","0,9 %"
Magnesio,"14,7 mg","4,9 %"
Manganese,"< 0,1 mg","0,4 %"
Fosforo,"158,7 mg","22,7 %"
Potassio,"119,7 mg","6,0 %"
Selenio,"< 0,1 mg","61,0 %"
Zinco,"0,2 mg","2,7 %"
