Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,2 mg","16,6 %"
Vitamina B11,"0,1 mg","30,6 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","12,7 %"
Vitamina B3,"0,8 mg","5,3 %"
Vitamina B5,"0,5 mg","7,6 %"
Vitamina B6,"0,1 mg","7,7 %"
Vitamina C,"6,5 mg","8,1 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
