Minerali,per porzione,% RDA
Calcio,"163,2 mg","16,3 %"
Rame,"0,2 mg","18,8 %"
Ferro,"2,5 mg","16,9 %"
Magnesio,"31,3 mg","10,4 %"
Manganese,"0,4 mg","18,6 %"
Fosforo,"248,9 mg","35,6 %"
Potassio,"250,2 mg","12,5 %"
Selenio,"< 0,1 mg","104,7 %"
Zinco,"1,7 mg","24,1 %"
