Valori nutrizionali,per porzione,% RDA
Valore calorico,474 kcal 1.983 kJ,"23,7 %"
Grassi,"28,7 g","44,2 %"
Grassi saturi,"10,6 g","48,0 %"
Grassi monoinsaturi,"10,7 g","36,9 %"
Grassi polinsaturi,"6,0 g","40,3 %"
Carboidrati,"46,5 g","17,4 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"14,6 g","20,0 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"17,8 mg","59,2 %"
Sodio,"0,4 g","< 0,1 %"
Acqua,"194,6 g","9,7 %"
