Valori nutrizionali,per porzione,% RDA
Valore calorico,80 kcal 335 kJ,"4,0 %"
Grassi,"3,4 g","5,3 %"
Grassi saturi,"1,2 g","5,2 %"
Grassi monoinsaturi,"1,4 g","4,7 %"
Grassi polinsaturi,"0,2 g","1,2 %"
Carboidrati,"1,7 g","0,6 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"10,0 g","13,6 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"133,5 mg","444,8 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"69,4 g","3,5 %"
