Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"< 0,1 mg","6,4 %"
Vitamina B11,"0,0 mg","0,0 %"
Vitamina B12,"< 0,1 mg","11,3 %"
Vitamina B2,"0,3 mg","19,6 %"
Vitamina B3,"0,9 mg","5,5 %"
Vitamina B5,"1,5 mg","25,0 %"
Vitamina B6,"< 0,1 mg","5,1 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,6 mg","5,0 %"
Vitamina K,"0,0 mg","0,0 %"
