Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,3 mg","30,5 %"
Vitamina B11,"0,6 mg","138,6 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,6 mg","42,0 %"
Vitamina B3,"4,2 mg","26,3 %"
Vitamina B5,"0,7 mg","12,3 %"
Vitamina B6,"1,6 mg","116,4 %"
Vitamina C,"378,0 mg","472,5 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,8 mg","6,3 %"
Vitamina K,"0,4 mg","0,5 %"
