Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"1,9 mg","169,3 %"
Vitamina B11,"0,0 mg","0,0 %"
Vitamina B12,"< 0,1 mg","157,2 %"
Vitamina B2,"1,3 mg","94,0 %"
Vitamina B3,"14,8 mg","92,4 %"
Vitamina B5,"5,6 mg","92,9 %"
Vitamina B6,"1,9 mg","134,7 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"< 0,1 mg","< 0,1 %"
Vitamina E,"0,8 mg","6,9 %"
Vitamina K,"0,0 mg","0,0 %"
