Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,6 mg","51,4 %"
Vitamina B11,"0,4 mg","111,8 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,5 mg","37,6 %"
Vitamina B3,"3,0 mg","18,7 %"
Vitamina B5,"1,9 mg","31,3 %"
Vitamina B6,"0,6 mg","41,5 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
