Minerali,per porzione,% RDA
Calcio,"15,9 mg","1,6 %"
Rame,"< 0,1 mg","5,3 %"
Ferro,"0,8 mg","5,1 %"
Magnesio,"24,8 mg","8,3 %"
Manganese,"0,3 mg","16,7 %"
Fosforo,"55,7 mg","8,0 %"
Potassio,"50,8 mg","2,5 %"
Selenio,"< 0,1 mg","6,2 %"
Zinco,"0,3 mg","4,1 %"
