Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"1,9 mg","170,4 %"
Vitamina B11,"< 0,1 mg","20,5 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,8 mg","58,5 %"
Vitamina B3,"5,6 mg","35,1 %"
Vitamina B5,"1,4 mg","24,1 %"
Vitamina B6,"0,3 mg","22,8 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
