Valori nutrizionali,per porzione,% RDA
Valore calorico,70 kcal 293 kJ,"3,5 %"
Grassi,"1,8 g","2,7 %"
Grassi saturi,"1,1 g","5,0 %"
Grassi monoinsaturi,"0,5 g","1,7 %"
Grassi polinsaturi,"< 0,1 g","0,4 %"
Carboidrati,"13,0 g","4,8 %"
Zuccheri,"12,4 g","24,9 %"
Proteine,"0,4 g","0,6 %"
Fibre alimentari,"0,3 g","< 0,1 %"
Colesterolo,"2,4 mg","7,9 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"1,7 g","< 0,1 %"
