Minerali,per porzione,% RDA
Calcio,"3,5 mg","0,3 %"
Rame,"< 0,1 mg","5,0 %"
Ferro,"0,3 mg","2,0 %"
Magnesio,"9,5 mg","3,2 %"
Manganese,"0,2 mg","7,9 %"
Fosforo,"26,5 mg","3,8 %"
Potassio,"33,6 mg","1,7 %"
Selenio,"< 0,1 mg","15,1 %"
Zinco,"0,3 mg","3,7 %"
