Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,3 mg","28,9 %"
Vitamina B11,"< 0,1 mg","13,6 %"
Vitamina B12,"< 0,1 mg","235,9 %"
Vitamina B2,"1,0 mg","74,5 %"
Vitamina B3,"30,3 mg","189,4 %"
Vitamina B5,"5,1 mg","85,4 %"
Vitamina B6,"1,9 mg","136,1 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"1,0 mg","7,9 %"
Vitamina K,"0,0 mg","0,0 %"
