Minerali,per porzione,% RDA
Calcio,"2,4 mg","0,2 %"
Rame,"< 0,1 mg","1,3 %"
Ferro,"0,2 mg","1,3 %"
Magnesio,"4,9 mg","1,6 %"
Manganese,"< 0,1 mg","0,3 %"
Fosforo,"69,6 mg","9,9 %"
Potassio,"91,7 mg","4,6 %"
Selenio,"< 0,1 mg","19,3 %"
Zinco,"0,4 mg","5,7 %"
