Minerali,per porzione,% RDA
Calcio,"0,0 mg","0,0 %"
Rame,"< 0,1 mg","2,4 %"
Ferro,"< 0,1 mg","0,3 %"
Magnesio,"7,1 mg","2,4 %"
Manganese,"0,5 mg","26,0 %"
Fosforo,"2,4 mg","0,3 %"
Potassio,"87,7 mg","4,4 %"
Selenio,"0,0 mg","0,0 %"
Zinco,"< 0,1 mg","0,7 %"
