Minerali,per porzione,% RDA
Calcio,"0,8 mg","< 0,1 %"
Rame,"< 0,1 mg","1,5 %"
Ferro,"0,1 mg","0,8 %"
Magnesio,"2,4 mg","0,8 %"
Manganese,"< 0,1 mg","< 0,1 %"
Fosforo,"41,0 mg","5,9 %"
Potassio,"43,7 mg","2,2 %"
Selenio,"< 0,1 mg","15,9 %"
Zinco,"0,3 mg","3,9 %"
