Minerali,per porzione,% RDA
Calcio,"19,1 mg","1,9 %"
Rame,"< 0,1 mg","6,8 %"
Ferro,"1,3 mg","8,6 %"
Magnesio,"43,5 mg","14,5 %"
Manganese,"< 0,1 mg","1,6 %"
Fosforo,"302,8 mg","43,3 %"
Potassio,"382,8 mg","19,1 %"
Selenio,"< 0,1 mg","96,3 %"
Zinco,"1,4 mg","19,9 %"
