Minerali,per porzione,% RDA
Calcio,"7,7 mg","0,8 %"
Rame,"0,1 mg","12,3 %"
Ferro,"1,7 mg","11,0 %"
Magnesio,"9,5 mg","3,2 %"
Manganese,"< 0,1 mg","2,2 %"
Fosforo,"84,2 mg","12,0 %"
Potassio,"86,9 mg","4,3 %"
Selenio,"< 0,1 mg","66,2 %"
Zinco,"1,8 mg","25,2 %"
