Minerali,per porzione,% RDA
Calcio,"2,6 mg","0,3 %"
Rame,"< 0,1 mg","6,4 %"
Ferro,"0,6 mg","4,0 %"
Magnesio,"3,8 mg","1,3 %"
Manganese,"< 0,1 mg","3,4 %"
Fosforo,"16,6 mg","2,4 %"
Potassio,"3,8 mg","0,2 %"
Selenio,"< 0,1 mg","11,9 %"
Zinco,"< 0,1 mg","1,1 %"
