Minerali,per porzione,% RDA
Calcio,"10,3 mg","1,0 %"
Rame,"< 0,1 mg","3,7 %"
Ferro,"0,9 mg","5,8 %"
Magnesio,"4,9 mg","1,6 %"
Manganese,"< 0,1 mg","0,9 %"
Fosforo,"46,4 mg","6,6 %"
Potassio,"41,0 mg","2,1 %"
Selenio,"< 0,1 mg","21,9 %"
Zinco,"1,0 mg","14,8 %"
