Minerali,per porzione,% RDA
Calcio,"184,3 mg","18,4 %"
Rame,"0,9 mg","93,0 %"
Ferro,"4,5 mg","29,9 %"
Magnesio,"134,5 mg","44,8 %"
Manganese,"2,2 mg","107,9 %"
Fosforo,"441,6 mg","63,1 %"
Potassio,"683,9 mg","34,2 %"
Selenio,"0,0 mg","0,0 %"
Zinco,"1,9 mg","27,0 %"
