Valori nutrizionali,per porzione,% RDA
Valore calorico,367 kcal 1.536 kJ,"18,3 %"
Grassi,"13,9 g","21,4 %"
Grassi saturi,"3,4 g","15,2 %"
Grassi monoinsaturi,"6,0 g","20,6 %"
Grassi polinsaturi,"3,8 g","25,2 %"
Carboidrati,"58,1 g","21,7 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"4,0 g","5,5 %"
Fibre alimentari,"0,9 g","0,3 %"
Colesterolo,"25,3 mg","84,3 %"
Sodio,"0,4 g","< 0,1 %"
Acqua,"37,1 g","1,9 %"
