Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"2,6 mg","232,5 %"
Vitamina B11,"< 0,1 mg","0,5 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","14,1 %"
Vitamina B3,"0,0 mg","0,0 %"
Vitamina B5,"0,0 mg","0,0 %"
Vitamina B6,"0,0 mg","0,0 %"
Vitamina C,"36,8 mg","46,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
