Valori nutrizionali,per porzione,% RDA
Valore calorico,264 kcal 1.107 kJ,"13,2 %"
Grassi,"10,0 g","15,4 %"
Grassi saturi,"7,0 g","31,7 %"
Grassi monoinsaturi,"1,3 g","4,5 %"
Grassi polinsaturi,"0,2 g","1,0 %"
Carboidrati,"41,3 g","15,4 %"
Zuccheri,"34,6 g","69,2 %"
Proteine,"2,3 g","3,2 %"
Fibre alimentari,"0,6 g","0,2 %"
Colesterolo,"5,2 mg","17,4 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"3,7 g","0,2 %"
