Minerali,per porzione,% RDA
Calcio,"9,0 mg","0,9 %"
Rame,"< 0,1 mg","1,0 %"
Ferro,"0,2 mg","1,6 %"
Magnesio,"6,7 mg","2,2 %"
Manganese,"< 0,1 mg","3,1 %"
Fosforo,"16,0 mg","2,3 %"
Potassio,"23,2 mg","1,2 %"
Selenio,"0,0 mg","0,0 %"
Zinco,"0,1 mg","1,4 %"
