Minerali,per porzione,% RDA
Calcio,"6,6 mg","0,7 %"
Rame,"< 0,1 mg","3,4 %"
Ferro,"0,4 mg","2,9 %"
Magnesio,"9,4 mg","3,1 %"
Manganese,"< 0,1 mg","1,1 %"
Fosforo,"91,8 mg","13,1 %"
Potassio,"111,9 mg","5,6 %"
Selenio,"< 0,1 mg","42,2 %"
Zinco,"1,0 mg","14,7 %"
