Valori nutrizionali,per porzione,% RDA
Valore calorico,251 kcal 1.050 kJ,"12,5 %"
Grassi,"9,6 g","14,7 %"
Grassi saturi,"3,3 g","15,1 %"
Grassi monoinsaturi,"3,6 g","12,3 %"
Grassi polinsaturi,"1,3 g","9,0 %"
Carboidrati,"28,8 g","10,7 %"
Zuccheri,"5,7 g","11,5 %"
Proteine,"12,3 g","16,8 %"
Fibre alimentari,"1,2 g","0,4 %"
Colesterolo,"25,7 mg","85,5 %"
Sodio,"0,5 g","< 0,1 %"
Acqua,"42,3 g","2,1 %"
