Valori nutrizionali,per porzione,% RDA
Valore calorico,74 kcal 310 kJ,"3,7 %"
Grassi,"0,1 g","0,2 %"
Carboidrati,"14,1 g","5,3 %"
Zuccheri,"13,5 g","27,0 %"
Proteine,"2,8 g","3,8 %"
Sale,"0,1 g","2,0 %"
