Minerali,per porzione,% RDA
Calcio,"92,9 mg","9,3 %"
Rame,"< 0,1 mg","7,7 %"
Ferro,"2,3 mg","15,2 %"
Magnesio,"13,7 mg","4,6 %"
Manganese,"0,3 mg","14,4 %"
Fosforo,"52,4 mg","7,5 %"
Potassio,"62,1 mg","3,1 %"
Selenio,"< 0,1 mg","42,6 %"
Zinco,"0,6 mg","8,6 %"
