Minerali,per porzione,% RDA
Calcio,"281,8 mg","28,2 %"
Rame,"< 0,1 mg","6,1 %"
Ferro,"< 0,1 mg","0,5 %"
Magnesio,"24,5 mg","8,2 %"
Manganese,"< 0,1 mg","0,5 %"
Fosforo,"208,3 mg","29,8 %"
Potassio,"330,8 mg","16,5 %"
Selenio,"< 0,1 mg","30,2 %"
Zinco,"0,9 mg","13,3 %"
