Minerali,per porzione,% RDA
Calcio,"13,3 mg","1,3 %"
Rame,"0,1 mg","11,3 %"
Ferro,"0,7 mg","4,8 %"
Magnesio,"22,0 mg","7,3 %"
Manganese,"0,3 mg","16,2 %"
Fosforo,"91,6 mg","13,1 %"
Potassio,"92,7 mg","4,6 %"
Selenio,"< 0,1 mg","99,8 %"
Zinco,"0,7 mg","10,4 %"
