Minerali,per porzione,% RDA
Calcio,"39,0 mg","3,9 %"
Rame,"0,1 mg","14,1 %"
Ferro,"5,9 mg","39,5 %"
Magnesio,"51,0 mg","17,0 %"
Manganese,"5,1 mg","255,0 %"
Fosforo,"295,5 mg","42,2 %"
Potassio,"480,0 mg","24,0 %"
Selenio,"< 0,1 mg","224,0 %"
Zinco,"2,4 mg","34,3 %"
