Valori nutrizionali,per porzione,% RDA
Valore calorico,120 kcal 502 kJ,"6,0 %"
Grassi,"4,4 g","6,7 %"
Grassi saturi,"2,9 g","13,1 %"
Grassi monoinsaturi,"0,0 g","0,0 %"
Grassi polinsaturi,"0,0 g","0,0 %"
Carboidrati,"21,6 g","8,1 %"
Zuccheri,"20,8 g","41,5 %"
Proteine,"5,8 g","7,9 %"
Sale,"0,2 g","3,3 %"
Fibre alimentari,"0,0 g","0,0 %"
Sodio,"0,0 g","0,0 %"
