Minerali,per porzione,% RDA
Calcio,"177,1 mg","17,7 %"
Rame,"0,3 mg","31,8 %"
Ferro,"3,3 mg","21,8 %"
Magnesio,"63,6 mg","21,2 %"
Manganese,"0,3 mg","16,1 %"
Fosforo,"99,9 mg","14,3 %"
Potassio,"930,7 mg","46,5 %"
Selenio,"< 0,1 mg","10,6 %"
Zinco,"1,8 mg","25,3 %"
