Minerali,per porzione,% RDA
Calcio,"3,2 mg","0,3 %"
Rame,"< 0,1 mg","3,2 %"
Ferro,"0,2 mg","1,6 %"
Magnesio,"2,9 mg","1,0 %"
Manganese,"< 0,1 mg","1,5 %"
Fosforo,"5,6 mg","0,8 %"
Potassio,"53,0 mg","2,7 %"
Selenio,"< 0,1 mg","0,5 %"
Zinco,"< 0,1 mg","0,8 %"
