Minerali,per porzione,% RDA
Calcio,"18,8 mg","1,9 %"
Rame,"< 0,1 mg","4,6 %"
Ferro,"1,0 mg","6,5 %"
Magnesio,"19,0 mg","6,3 %"
Manganese,"0,4 mg","19,0 %"
Fosforo,"43,5 mg","6,2 %"
Potassio,"53,0 mg","2,7 %"
Selenio,"< 0,1 mg","26,0 %"
Zinco,"0,3 mg","4,9 %"
