Minerali,per porzione,% RDA
Calcio,"74,2 mg","7,4 %"
Rame,"0,4 mg","42,8 %"
Ferro,"2,6 mg","17,6 %"
Magnesio,"79,4 mg","26,5 %"
Manganese,"0,5 mg","25,6 %"
Fosforo,"220,2 mg","31,5 %"
Potassio,"335,4 mg","16,8 %"
Selenio,"< 0,1 mg","200,5 %"
Zinco,"1,9 mg","26,7 %"
