Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"2,6 mg","233,9 %"
Vitamina B11,"< 0,1 mg","7,5 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,3 mg","19,6 %"
Vitamina B3,"12,8 mg","80,1 %"
Vitamina B5,"2,8 mg","46,8 %"
Vitamina B6,"0,1 mg","10,4 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
