Valori nutrizionali,per porzione,% RDA
Valore calorico,664 kcal 2.778 kJ,"33,2 %"
Grassi,"21,8 g","33,5 %"
Grassi saturi,"6,5 g","29,5 %"
Grassi monoinsaturi,"5,9 g","20,4 %"
Grassi polinsaturi,"4,2 g","28,2 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"109,1 g","149,4 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"366,2 mg","1.220,7 %"
Sodio,"0,2 g","< 0,1 %"
Acqua,"181,3 g","9,1 %"
